Segment Type,Importance,Text
subtitle,0.8,Plan d’Assurance Qualité
paragraph,1.0,"Le PRESTATAIRE sera tenu de rédiger, et tenir à jour, en accord avec le CLIENT, un plan d’assurance Qualité qui encadrera précisément sa mission. Il est donc demandé qu’il fournisse dès l’offre initiale le sommaire du futur Plan d’Assurance Qualité. Le plan d’assurance Qualité comprendra au minimum Une description des rôles et responsabilités du fournisseur vs Lilly Une description des pratiques qualités du fournisseur auxquelles Lilly peut se référer Le processus de revue avec le management mis en place afin de s’assurer que les objectifs qualité de la relation sont atteints et de s’assurer de l’effectivité de son système qualité, par rapport à attentes du CLIENT. Une description de tous les contrats de support nécessaires Les contacts éventuels L’utilisation des sous-traitants éventuels Les indicateurs ou éléments de mesure de sa prestation. La gestion des réclamations éventuelles. L’autorisation d’auditer le fournisseur et d’accéder à ses sites. Le process de notification des points relatifs à la qualité (exemple : modification de localisation du fournisseur, modification du système qualité). Ce document adressera également : Le processus de gestion des modifications Le processus de gestion de la documentation Le processus applicable en cas de réclamation ou de conflit Le processus de qualification du personnel La description des activités faites par le PRESTATAIRE, Les garanties de confidentialité– notamment aux données personnelles et la description des contrôles applicables Les plans de recouvrement et/ou de continuité d’activité (si applicables) Les indicateurs de niveau de service et indicateurs qualité Les requis de rétention de données. "
subtitle,0.8,Les indicateurs qualité et satisfaction
paragraph,1.0,"Le PRESTATAIRE proposera les indicateurs qualité et de satisfaction clients pertinents permettant de piloter les activités associées à la prestation en respect des critères qualité attendus. Le PRESTATAIRE aura la charge de maintenir à jour les indicateurs sous la forme de tableaux de bord présentés en comité. Le PRESTATAIRE proposera également sa méthodologie de suivi à l’aide d’indicateurs de son choix ainsi que sa méthode afin de valider la satisfaction du client qui s'inscrit dans les objectifs suivants : Suite à un appel type incident, l’intervention doit se faire dans le quart d’heure si aucune autre intervention du même type n’est en cours. Par défaut les incidents seront traités par ordre d’arrivée. Le CLIENT (le gestionnaire de prestation dans la majorité des cas) pourra toutefois re-prioriser s’il y a trop d’incidents simultanément, ou lorsqu’il est nécessaire de traiter un incident plus prioritaire/critique. Suite à un appel de type consulting, la réponse interviendra dans un délai maximal d’une journée. Temps de résolution de l’incident : temps écoulé entre la prise en compte de l’appel et la résolution de l’incident : 80% des appels résolus dans les 4H et dans les 3 jours au maximum pour les autres. Nombre d’incident ayant impacté la capacité de production durant plus de 2h : 0 Taux de formation (Plan Individuel de Formation- PIF) : plan de formation à 99% NB : Volume horaire moyen estimé à 4-5 heures par mois pour un maintien du PIF à 100% (hors formation initiale). Révision des modules de formation, modes opératoires et procédures dans les délais : 100% des révisions réalisées avant la date d’expiration. Indicateur bon du premier coup : L’objectif de cet indicateur est de juger de la livraison correcte de document, de mise en production. Cela pourrait s’effectuer en relevant un taux réouverture de ticket, de validation de document refusé, de mise en production échoué à 1ère tentative, de problèmes résolus. Indicateur de dépassement de jalon : L’objectif est de mesuré la tenue des délais et des jalons contractuels. (Délai de chiffrage, livraisons, documentaire, compte-rendu…) : 100% des actions qualités doivent être réalisées dans les délais. Enquête de satisfaction : 80% de satisfaction. Tableau des solutions proposées et actions mise en œuvre pour résoudre les incidents récurrents & les problèmes (suivi de la résolution de problèmes) : nombre d’action menées ayant factuellement conduites à réduire le nombre d’incidents ouverts Backlog du nombre d’incident non résolu de plus de 10j : inférieur à 10, la cible étant zero Niveau d’expérience de l’équipe dans l’environnement Lilly (% de collaborateur ayant une ancienneté > 2ans, 4 ans) – souhait d’avoir une proposition favorisant la capitalisation d’expérience au sein des équipes L'offre de service décrira précisément ces indicateurs et l'engagement d'entrée en vigueur après le démarrage. "
subtitle,0.8,Confidentialité
paragraph,1.0,"Le PRESTATAIRE détaillera les procédures mises en place afin d’assurer au CLIENT la confidentialité des données, moyens, procédure et méthode dont le PRESTATAIRE aura connaissance ou accès dans le cadre de la prestation. "
subtitle,0.8,Planning
subtitle,0.8,Audit Qualité
paragraph,1.0,"Lilly pourra réaliser des audits du processus de service, du processus de livraison et de l'organisation du projet, pendant toute la durée du contrat. "
subtitle,0.8,Gestion des achats
paragraph,1.0,"Le PRESTATAIRE devra communiquer au CLIENT plusieurs références de TMA opérées par ses soins, dans des domaines similaires de préférence pharmaceutique à ceux décrits dans le cahier des charges. Il serait souhaitable que le PRESTATAIRE transmette les cordonnées (Nom, mail, téléphone, fonction) de clients afin que le CLIENT puisse directement effectuer des prises de références. La durée du contrat ira de Janvier 2025 à Décembre 2027. Il convient que le PRESTATAIRE propose quelques unités d’œuvres qui serviront de base de comparaison pour juger de la performance du PRESTATAIRE. A titre d’exemple, et à adapter en fonction l’expérience du PRESTATAIRE : Mise à jour d’un document qualité Création et application d’un change control Mise à niveau d’applications Le PRESTATAIRE ne pourra sous-traiter à des tiers tout ou partie des prestations, sauf accord préalable et écrit du CLIENT. La proposition de contrat est jointe à la consultation. Un règlement est joint à la consultation. Nous pouvons d’ores et déjà informer que le CLIENT utilisera la plateforme SAP Ariba. "
subtitle,0.8,Contacts
paragraph,1.0,Pour toutes questions complémentaires prendre attache exclusivement avec le département achats : Christian Eckel 03-90-07-52-46 / 06 07 26 18 61 -------------------- FIN DU DOCUMENT -------------------- Annexe 1 : Liste des applications
